CATEGORIA,ELEMENTO,CANTIDAD,UBICACION,LINK_REFERENCIA,OBSERVACIONES
Mosfet,Mosfet Regulador De Potencia Irfz44N Canal N,33,Nan,https://www.didacticaselectronicas.com.co/shop/irfz44-mosfet-irfz44-canal-n-de-55v-49a-6246#attr=,
Motor,Motor Eléctrico Brushless A2212/1000Kv 13T,3,Nan,SIN ENLACE DE REFERENCIA,
Motor,Motor Paso A Paso 28Byj-48 0.3Kg X Cm  ,0,Nan,SIN ENLACE DE REFERENCIA,(3 motores prestados en proyecto; 1 de baja)
Motor,Motorreductor Con Encoder 18Kg/Cm; 80 Rpm 12V 78Rpm Reduccion ,3,Nan,SIN ENLACE DE REFERENCIA,
Motor,"Motorreductor Ecode: 9V Dc; 150Rpm; 9,5Kg/Cm  ",8,Nan,SIN ENLACE DE REFERENCIA,
Motor,Motorreductor 6V 3000 Rpm 0.2Kg-Cm,4,Nan,https://www.vistronica.com/robotica/motores/motorreductores/motorreductor-6v-3000-rpm-0-2kg-cm-detail.html,
Motor,"Motor Dinamo 6V A 12V, 200Ma, 9500 Rpm",10,Nan,https://www.didacticaselectronicas.com.co/shop/meg-350-motor-dinamo-6v-a-12v-200ma-9500-rpm-13849#attr=,
Motor,Esc Controlador De Velocidad Para Motor Brushless 30A,6,Nan,SIN ENLACE DE REFERENCIA,
Optocoplador,Optoacoplador Integrado Tipo Dip 4N25,20,Nan,https://www.didacticaselectronicas.com.co/shop/meg-350-motor-dinamo-6v-a-12v-200ma-9500-rpm-13849#attr=,
Optocoplador,Moc 3021 Optoacoplador ,10,Nan,https://www.vistronica.com/componentes-activos/optoacopladores/optoacoplador-moc3010-detail.html,
Pantalla,"Pantalla Touch Tft A Color 2,8' V2; 3 Pantalla Tft Lcd 2,4' ",4,Nan,SIN ENLACE DE REFERENCIA,
Pantalla,Pantalla Arduino Tft Touch Shield V2.0,1,Nan,SIN ENLACE DE REFERENCIA,
